"Method","URL Link","Description","Auth Required"
"POST","http://127.0.0.1:8000/api-token-auth/","Obtain Auth Token","No"
"GET","http://127.0.0.1:8000/categories/","List all categories","No"
"POST","http://127.0.0.1:8000/categories/","Create a new category","No"
"GET","http://127.0.0.1:8000/categories/<id>/","Retrieve a category","No"
"PUT","http://127.0.0.1:8000/categories/<id>/","Update a category","No"
"DELETE","http://127.0.0.1:8000/categories/<id>/","Delete a category","No"
"GET","http://127.0.0.1:8000/menu-items/","List all menu items","No"
"POST","http://127.0.0.1:8000/menu-items/","Create a new menu item","No"
"GET","http://127.0.0.1:8000/menu-items/<id>/","Retrieve a menu item","No"
"PUT","http://127.0.0.1:8000/menu-items/<id>/","Update a menu item","No"
"DELETE","http://127.0.0.1:8000/menu-items/<id>/","Delete a menu item","No"
"GET","http://127.0.0.1:8000/orders/","List all orders","Yes"
"POST","http://127.0.0.1:8000/orders/","Create a new order","Yes"
"GET","http://127.0.0.1:8000/orders/<id>/","Retrieve an order","Yes"
"PUT","http://127.0.0.1:8000/orders/<id>/","Update an order","Yes"
"DELETE","http://127.0.0.1:8000/orders/<id>/","Delete an order","Yes"
